NOME_MUNICIPIO,UF,Valor_Medio_Pago,Etiqueta_Classificacao
AUTAZES,AM,695.390022675737,Alto Repasse
PEDRA GRANDE,RN,650.5641344956414,Baixo Repasse
IBITINGA,SP,650.1007722007722,Baixo Repasse
GOVERNADOR LINDENBERG,ES,692.9720873786408,Alto Repasse
XAPURI,AC,704.4571041030858,Alto Repasse
CORUMBAIBA,GO,689.0267459138187,Alto Repasse
LARANJAL PAULISTA,SP,648.4605180037903,Baixo Repasse
GRUPIARA,MG,589.3333333333334,Baixo Repasse
DIOGO DE VASCONCELOS,MG,631.3636363636364,Baixo Repasse
FILADELFIA,TO,703.1807419100237,Alto Repasse
TAQUARIVAI,SP,646.3458737864078,Baixo Repasse
BOM JESUS DO GALHO,MG,645.719946571683,Baixo Repasse
OIAPOQUE,AP,722.5555193217023,Alto Repasse
ITAMARATI,AM,841.4638019617001,Alto Repasse
RONDONOPOLIS,MT,647.8666504539559,Baixo Repasse
COXILHA,RS,611.7428571428571,Baixo Repasse
GRAVATAL,SC,649.0340136054422,Baixo Repasse
BACURITUBA,MA,683.5992592592593,Alto Repasse
PORTALEGRE,RN,646.8360294117647,Baixo Repasse
SALTO DA DIVISA,MG,641.6595477386935,Baixo Repasse
COLINAS,MA,687.8611015687621,Alto Repasse
PIEDADE DOS GERAIS,MG,650.3289665211063,Baixo Repasse
SAO SEBASTIAO DA BOA VISTA,PA,751.1646463096516,Alto Repasse
PRADO FERREIRA,PR,649.5105633802817,Baixo Repasse
PRINCESA,SC,635.3125,Baixo Repasse
GUADALUPE,PI,687.5009950248756,Alto Repasse
PORTO FERREIRA,SP,630.8320363164721,Baixo Repasse
MARIANA PIMENTEL,RS,683.851590106007,Alto Repasse
MOCAJUBA,PA,709.7026907319233,Alto Repasse
NOVA MARILANDIA,MT,694.4784946236559,Alto Repasse
CORDISBURGO,MG,648.1448598130842,Baixo Repasse
BREJETUBA,ES,645.6817496229261,Baixo Repasse
CARAPEBUS,RJ,648.6084142394822,Baixo Repasse
AGUAS FRIAS,SC,605.0243902439024,Baixo Repasse
JAPURA,AM,766.9602977667494,Alto Repasse
ITAGUARU,GO,649.5071090047394,Baixo Repasse
GROAIRAS,CE,637.1697892271662,Baixo Repasse
NOVA ITABERABA,SC,626.4383561643835,Baixo Repasse
JANDAIA DO SUL,PR,641.3476357267951,Baixo Repasse
CASTELO DO PIAUI,PI,694.3253715498938,Alto Repasse
BRAGANEY,PR,625.1076388888889,Baixo Repasse
VICENTE DUTRA,RS,680.8178025034771,Alto Repasse
SAO PAULO DAS MISSOES,RS,644.7899686520376,Baixo Repasse
BARRA DO CHOCA,BA,647.2753219631047,Baixo Repasse
SAO GONCALO DO GURGUEIA,PI,693.185667752443,Alto Repasse
PICADA CAFE,RS,742.7272727272727,Alto Repasse
PASSA E FICA,RN,649.5304166666666,Baixo Repasse
CARACARAI,RR,722.9158635061214,Alto Repasse
DUERE,TO,692.3339416058394,Alto Repasse
ROLADOR,RS,699.3310344827586,Alto Repasse
ITAPORA DO TOCANTINS,TO,694.0873015873016,Alto Repasse
AGUAS LINDAS DE GOIAS,GO,685.6782250242483,Alto Repasse
RIBEIRAO DO SUL,SP,649.9298701298701,Baixo Repasse
GUABIJU,RS,689.2,Alto Repasse
CANTAGALO,MG,644.3587921847247,Baixo Repasse
SENTO SE,BA,693.3245707017172,Alto Repasse
QUERENCIA,MT,738.7878625134264,Alto Repasse
URUARA,PA,711.9277257709251,Alto Repasse
LAGOA SANTA,GO,687.8022813688212,Alto Repasse
SAO BENEDITO DO RIO PRETO,MA,751.624403544649,Alto Repasse
INDIANOPOLIS,MG,631.2181818181818,Baixo Repasse
OSORIO,RS,695.7801328693452,Alto Repasse
